Obs.Y,Obs.M,Obs.D,Obs.h,Obs.m,Obs.s,MJD,RAh,RAm,RAs,DEd,DEm,DEs,ExpID,FieldID,Other,PID,Filter,Exp,i,g
2003,8,22,11,29,38.27,52873.4789152,1,33,51.0,30,39,36.8,714745,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,8,22,11,53,39.54,52873.4955965,1,33,51.0,30,39,36.8,714747,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,8,24,12,51,34.76,52875.5358189,1,33,50.99,30,39,37.0,715147,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,8,24,13,15,17.02,52875.5522804,1,33,50.99,30,39,36.9,715149,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,8,24,13,28,28.93,52875.5614459,1,33,51.0,30,39,37.0,715150,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,8,24,13,55,5.14,52875.5799206,1,33,51.0,30,39,36.9,715152,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,8,29,10,5,23.22,52880.4204076,1,33,51.0,30,39,36.9,715706,m026,M33C,03BF15,g.MP9401,171,20.442,20.89
2003,8,30,10,38,17.82,52881.4432618,1,33,51.0,30,39,37.0,715797,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,8,30,11,2,4.54,52881.4597748,1,33,51.0,30,39,37.0,715799,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,8,31,9,52,31.48,52882.4114754,1,33,51.0,30,39,37.1,715935,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,8,31,10,16,16.05,52882.4279635,1,33,51.0,30,39,37.0,715937,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,8,31,10,29,18.25,52882.4370168,1,33,50.99,30,39,37.1,715938,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,8,31,10,53,5.62,52882.4535373,1,33,51.0,30,39,36.8,715940,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,9,3,13,50,37.71,52885.5768254,1,33,51.0,30,39,37.1,716134,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,9,3,14,14,25.08,52885.5933459,1,33,51.0,30,39,36.9,716136,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,9,23,8,6,13.32,52905.3376542,0,35,17.27,39,22,9.4,718878,m212,M31-3,03BC20,g.MP9401,1160,,
2003,9,23,8,26,23.7,52905.3516632,0,35,17.7,39,21,54.4,718879,m212,M31-3,03BC20,g.MP9401,1160,,
2003,9,23,8,46,34.08,52905.3656722,0,35,18.56,39,22,4.4,718880,m212,M31-3,03BC20,g.MP9401,1160,,
2003,9,23,9,49,9.72,52905.4091403,0,35,17.7,39,21,54.3,718884,m212,M31-3,03BC20,i.MP9701,1160,,
2003,9,23,10,9,20.0,52905.4231481,0,35,18.56,39,22,4.4,718885,m212,M31-3,03BC20,i.MP9701,1160,,
2003,9,24,8,24,29.27,52906.3503388,0,48,3.62,40,34,9.5,719008,m235,M31-1,03BC20,g.MP9401,1160,,
2003,9,24,8,46,32.44,52906.3656533,0,48,4.06,40,33,54.2,719009,m235,M31-1,03BC20,g.MP9401,1160,,
2003,9,24,9,8,41.62,52906.3810373,0,48,4.93,40,34,4.3,719010,m235,M31-1,03BC20,g.MP9401,1160,,
2003,9,24,9,30,0.6,52906.3958402,0,48,3.62,40,34,9.4,719011,m235,M31-1,03BC20,i.MP9701,1160,,
2003,9,24,9,51,48.72,52906.4109806,0,48,4.06,40,33,54.3,719012,m235,M31-1,03BC20,i.MP9701,1160,,
2003,9,24,10,13,24.6,52906.4259791,0,48,4.93,40,34,4.3,719013,m235,M31-1,03BC20,i.MP9701,1160,,
2003,9,24,10,34,48.53,52906.4408394,0,45,23.97,39,37,9.4,719014,m214,M31-2,03BC20,g.MP9401,1160,,
2003,9,24,10,54,59.21,52906.4548519,0,45,24.4,39,36,54.4,719015,m214,M31-2,03BC20,g.MP9401,1160,,
2003,9,24,11,15,10.44,52906.4688708,0,45,25.27,39,37,4.4,719016,m214,M31-2,03BC20,g.MP9401,1160,,
2003,9,28,12,22,23.21,52910.5155464,0,45,23.97,39,37,9.4,719867,m214,M31-2,03BC20,i.MP9701,1160,,
2003,9,28,13,2,53.52,52910.543675,0,45,24.4,39,36,54.5,719868,m214,M31-2,03BC20,i.MP9701,1160,,
2003,9,28,13,23,5.75,52910.5577054,0,45,25.27,39,37,4.4,719869,m214,M31-2,03BC20,i.MP9701,1160,,
2003,10,19,6,28,5.8,52931.2695116,1,33,51.0,30,39,36.9,723478,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,10,19,6,51,53.12,52931.2860315,1,33,51.0,30,39,37.1,723480,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,10,19,7,5,53.42,52931.2957572,1,33,51.0,30,39,37.0,723481,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,10,19,7,29,39.84,52931.3122667,1,33,51.0,30,39,37.0,723483,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,10,19,7,42,52.55,52931.3214415,1,33,51.0,30,39,37.0,723484,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,10,19,9,41,26.24,52931.4037759,1,33,51.0,30,39,37.0,723487,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
2003,10,19,9,54,46.99,52931.4130439,1,33,51.0,30,39,37.0,723488,m026,M33C,03BF15,g.MP9401,530,20.442,20.89
2003,10,19,10,18,34.26,52931.4295632,1,33,51.0,30,39,36.9,723490,m026,M33C,03BF15,i.MP9701,660,20.442,20.89
