ID,RADEG,DECDEG,CLASS,DATATABLE,i,g
C1,0.1579166666666666,32.41777777777777,2.0,di_tullio_zinn_13_table2,22.596,24.741
2M034,0.508375,51.6067222,4.0,m31rbcV5,24.96,25.493
PAndAS-03,0.9850416666666666,40.888666666666666,1.0,huxor14_table1,22.599,23.526
PAndAS-04,1.178875,47.36179722222222,1.0,huxor14_table1,18.307,19.147
PAndAS-05,1.3506249999999995,43.92658333333333,1.0,huxor14_table1,23.435,24.263
2M035,1.549625,41.5037222,4.0,m31rbcV5,24.833,25.554
PAndAS-06,1.5497916666666665,41.68915833333333,1.0,huxor14_table1,20.001,21.139
C2,2.079166666666666,34.46861111111112,4.0,di_tullio_zinn_13_table2,19.651,20.751
C3,2.14375,34.62722222222222,4.0,di_tullio_zinn_13_table2,17.425,18.777
PAndAS-07,2.713958333333333,39.59959722222222,1.0,huxor14_table1,22.188,23.015
C4,2.9441666666666664,32.80333333333333,2.0,di_tullio_zinn_13_table2,21.14,22.354
PAndAS-08,3.2185416666666664,38.29662777777778,1.0,huxor14_table1,20.815,21.818
PAndAS-09,3.22775,45.098850000000006,1.0,huxor14_table1,18.34,19.163
PAndAS-10,3.411083333333333,45.186425,1.0,huxor14_table1,22.563,23.305
C5,3.4225,31.27638888888889,2.0,di_tullio_zinn_13_table2,22.496,23.774
B518,3.7282917,39.0844722,6.0,m31rbcV5,23.164,24.187
PAndAS-11,3.7317916666666666,44.621208333333335,1.0,huxor14_table1,19.85,20.479
C6,3.770416666666666,32.03666666666666,2.0,di_tullio_zinn_13_table2,21.426,22.059
2M031,4.0892083,34.2000556,4.0,m31rbcV5,17.725,19.357
PAndAS-12,4.416999999999999,43.31083888888889,1.0,huxor14_table1,22.442,23.322
PAndAS-13,4.428,43.07550833333334,1.0,huxor14_table1,18.835,19.559
PAndAS-14,5.141166666666665,36.659572222222224,1.0,huxor14_table1,21.419,23.219
A,5.14119,36.65953,1.0,di_tullio_zinn_14_table1,21.419,23.219
2M032,5.3965,48.2256111,4.0,m31rbcV5,17.656,19.03
PAndAS-15,5.683624999999998,41.937266666666666,1.0,huxor14_table1,21.39,21.956
C7,5.781666666666666,27.51305555555556,2.0,di_tullio_zinn_13_table2,21.392,23.963
2M012,6.0289167,44.9853333,4.0,m31rbcV5,18.041,19.488
PAndAS-16,6.249666666666666,39.70364166666667,1.0,huxor14_table1,23.647,24.84
2M018,6.37175,37.8405,4.0,m31rbcV5,19.818,20.864
HEC1,6.3915,40.7276111,8.0,m31rbcV5,20.979,22.106
2M023,6.4285,41.4265833,4.0,m31rbcV5,24.964,25.515
2M001,6.4777792,40.9516306,4.0,m31rbcV5,16.783,17.958
2M024,6.616625,44.2693611,4.0,m31rbcV5,18.411,19.96
C8,6.6483333333333325,26.975277777777777,2.0,di_tullio_zinn_13_table2,21.708,24.043
MCGC1,6.6987083,39.7461944,1.0,m31rbcV5,20.319,21.277
PAndAS-17,6.717499999999999,38.749475,1.0,huxor14_table1,21.075,22.003
B,6.7175,38.74947,1.0,di_tullio_zinn_14_table1,21.075,22.003
2M014,6.8084167,35.8033611,4.0,m31rbcV5,25.289,25.961
2M043,6.8530833,45.1266667,6.0,m31rbcV5,24.785,25.257
2M019,6.879125,40.13375,4.0,m31rbcV5,23.83,24.908
H2,7.0135833,40.0486917,1.0,m31rbcV5,20.726,21.572
PAndAS-18,7.096916666666666,39.91801666666667,1.0,huxor14_table1,21.987,23.034
HEC2,7.1317708,37.5232778,8.0,m31rbcV5,22.194,22.726
2M036,7.215375,39.0879722,6.0,m31rbcV5,24.927,25.832
2M010,7.28425,39.4765833,4.0,m31rbcV5,24.282,24.221
2M011,7.329625,38.4212778,4.0,m31rbcV5,21.041,22.788
H3,7.3756208,41.8422472,1.0,m31rbcV5,18.944,19.877
MCGC2,7.437425,41.2192389,1.0,m31rbcV5,20.549,21.71
2M002,7.440875,37.4916667,4.0,m31rbcV5,19.719,21.206
2M042,7.456,41.7233333,6.0,m31rbcV5,17.713,19.965
PAndAS-19,7.550916666666666,39.84979722222222,1.0,huxor14_table1,21.343,22.239
2M039,7.5800417,41.2889722,6.0,m31rbcV5,24.325,24.751
MCGC3,7.6136958,41.60545,1.0,m31rbcV5,18.206,19.001
2M003,7.7370417,45.3499722,4.0,m31rbcV5,22.187,23.42
B514,7.7909208,37.900025,1.0,m31rbcV5,19.266,20.299
PAndAS-20,7.848916666666667,41.98892222222222,1.0,huxor14_table1,20.988,21.899
PAndAS-21,7.864666666666666,39.5394,1.0,huxor14_table1,21.894,22.864
C,7.86467,39.53942,1.0,di_tullio_zinn_14_table1,21.894,22.864
2M009,7.8712083,40.8986944,4.0,m31rbcV5,17.523,18.831
2M040,7.877125,40.55425,6.0,m31rbcV5,21.787,22.8
2M004,7.907125,40.5711944,4.0,m31rbcV5,18.334,19.855
H7,7.9772125,40.1130972,1.0,m31rbcV5,19.304,20.165
PAndAS-22,8.034833333333331,40.62545,1.0,huxor14_table1,19.661,20.911
C9,8.06875,25.28222222222222,2.0,di_tullio_zinn_13_table2,24.636,24.513
SD-GC7,8.0925,48.524166666666666,1.0,veljanoski13_table2,17.462,18.429
SD-GC5,8.095416666666667,48.430277777777775,1.0,veljanoski13_table2,19.569,20.409
PA-N147-1,8.147083333333333,48.330000000000005,1.0,veljanoski13_table2,21.829,22.878
SH01,8.173075,40.02845,4.0,m31rbcV5,21.775,22.816
G001,8.1939,39.5779639,1.0,m31rbcV5,19.681,20.637
SD-GC10,8.196666666666665,48.53630555555555,1.0,veljanoski13_table2,21.725,22.632
Hodge-I,8.300833333333333,48.50897222222222,1.0,veljanoski13_table2,18.325,19.246
SK001C,8.3046417,40.0908,2.0,m31rbcV5,18.841,20.084
Hodge-II,8.306666666666667,48.48019444444444,1.0,veljanoski13_table2,19.057,20.074
PAndAS-23,8.308874999999999,39.58775833333333,1.0,huxor14_table1,20.993,22.283
Hodge-IV,8.3125,48.536,1.0,veljanoski13_table2,20.549,21.561
Hodge-III,8.313333333333334,48.45641666666667,1.0,veljanoski13_table2,17.572,18.465
SK002C,8.3159917,40.0070389,2.0,m31rbcV5,18.598,20.205
SK001B,8.346125,40.07797222222223,4.0,m31rbcV5,24.237,24.902
SK002B,8.384166666666665,39.85911111111111,4.0,m31rbcV5,18.474,18.97
G002,8.3907417,39.5219222,1.0,m31rbcV5,19.648,20.592
SK003C,8.3934292,40.1853472,4.0,m31rbcV5,21.44,22.42
SK004C,8.395666666666667,40.13786111111112,4.0,m31rbcV5,19.098,20.917
SK003B,8.404291666666666,39.68305555555556,4.0,m31rbcV5,21.746,22.748
SK005C,8.408499999999998,39.593250000000005,4.0,m31rbcV5,18.739,20.45
PA-N147-2,8.430416666666666,48.645833333333336,1.0,veljanoski13_table2,17.752,18.606
SK006C,8.442124999999999,39.81016666666667,4.0,m31rbcV5,19.107,20.432
G003,8.4531583,42.0631556,6.0,m31rbcV5,24.668,26.12
PAndAS-24,8.460708333333333,38.64112222222222,1.0,huxor14_table1,23.634,24.162
SK007C,8.477625,39.57683333333334,4.0,m31rbcV5,18.535,20.366
C10,8.49875,28.70833333333333,2.0,di_tullio_zinn_13_table2,23.669,24.787
PAndAS-25,8.525624999999998,43.251847222222224,1.0,huxor14_table1,20.833,21.668
PA-N147-3,8.541666666666666,49.04416666666666,1.0,veljanoski13_table2,19.91,20.821
B133D,8.545808333333332,39.847297222222224,4.0,m31rbcV5,18.283,19.484
BH01,8.5478333,39.39975,2.0,m31rbcV5,22.358,23.987
